fico, loanRateDiff, loanTimeRemaining, isInCurrentOrder, noFee, loanType, purpose, loanAmountRequested, title, loanAmtRemaining, primeUnfundedAmount, alreadyInvestedIn, loanGrade, searchrank, loan_status, hasCosigner, isWholeLoan, primeFractions, wholeLoanTimeRemaining, alreadySelected, loanUnfundedAmount, loanAmt, loanLength, loanGUID, amountToInvest, primeTotalInvestment, loanRate, primeMarkedInvestment, 
695-699, .00, 854951817, false, 0, Personal, credit_card, 20000, Credit card refinancing, 7375, 0, false, D1, -1, INFUNDING, false, 0, 0, -309235183, false, 7375, 20000, 60, 70041466, 0, 0, 15.77, 0, 
705-709, .00, 893497817, false, 0, Personal, debt_consolidation, 12800, Debt consolidation, 5300, 0, false, E1, -1, INFUNDING, false, 0, 0, -251635183, false, 5300, 12800, 60, 70054299, 0, 0, 18.99, 0, 
670-674, .00, 841456817, false, 0, Personal, debt_consolidation, 18000, Debt consolidation, 8675, 0, false, E4, -1, INFUNDING, false, 0, 0, -323635183, false, 8675, 18000, 60, 69992283, 0, 0, 20.50, 0, 
690-694, .00, 852772817, false, 0, Personal, debt_consolidation, 16000, Debt consolidation, 8025, 0, false, C2, -1, INFUNDING, false, 0, 0, -309235183, false, 8025, 16000, 60, 70024796, 0, 0, 12.88, 0, 
685-689, .00, 867683817, false, 0, Personal, other, 12000, Other, 7400, 0, false, E1, -1, INFUNDING, false, 0, 0, -294835183, false, 7400, 12000, 60, 70082538, 0, 0, 18.99, 0, 
690-694, .00, 845635817, false, 0, Personal, debt_consolidation, 20000, Debt consolidation, 9000, 0, false, F1, -1, INFUNDING, false, 0, 0, -309235183, false, 9000, 20000, 60, 70112314, 0, 0, 22.45, 0, 
670-674, .00, 778033817, false, 0, Personal, credit_card, 27550, Credit card refinancing, 15100, 0, false, E3, -1, INFUNDING, false, 0, 0, -381235183, false, 15100, 27550, 60, 69196851, 0, 0, 19.89, 0, 
685-689, .00, 850514817, false, 0, Personal, credit_card, 14400, Credit card refinancing, 8800, 0, false, B2, -1, INFUNDING, false, 0, 0, -309235183, false, 8800, 14400, 60, 70132325, 0, 0, 9.17, 0, 
675-679, .00, 860325817, false, 0, Personal, home_improvement, 16000, Home improvement, 8300, 0, false, C1, -1, INFUNDING, false, 0, 0, -294835183, false, 8300, 16000, 60, 69982695, 0, 0, 11.99, 0, 
705-709, .00, 851883817, false, 0, Personal, debt_consolidation, 16000, Debt consolidation, 8925, 0, false, C4, -1, INFUNDING, false, 0, 0, -309235183, false, 8925, 16000, 60, 70172459, 0, 0, 13.99, 0, 
695-699, .00, 767319817, false, 0, Personal, debt_consolidation, 35000, Debt consolidation, 16875, 0, false, D3, -1, INFUNDING, false, 0, 0, -395635183, false, 16875, 35000, 60, 70011533, 0, 0, 17.27, 0, 
710-714, .00, 1009340817, false, 0, Personal, moving, 19200, Moving and relocation, 1650, 0, false, A1, -1, INFUNDING, false, 0, 0, -194035183, false, 1600, 19200, 36, 70441662, 0, 0, 5.32, 0, 
660-664, .00, 858193817, false, 0, Personal, debt_consolidation, 15450, Debt consolidation, 8750, 0, false, E4, -1, INFUNDING, false, 0, 0, -294835183, false, 8750, 15450, 60, 70192466, 0, 0, 20.50, 0, 
750-754, .00, 929789817, false, 0, Personal, debt_consolidation, 19200, Debt consolidation, 4450, 0, false, C2, -1, INFUNDING, false, 0, 0, -222835183, false, 4450, 19200, 60, 68434390, 0, 0, 12.88, 0, 
670-674, .00, 920650817, false, 0, Personal, credit_card, 21000, Credit card refinancing, 4950, 0, false, C1, -1, INFUNDING, false, 0, 0, -280435183, false, 4950, 21000, 60, 69982793, 0, 0, 11.99, 0, 
680-684, .00, 867393817, false, 0, Personal, other, 16000, 8300, 0, false, D1, -1, INFUNDING, false, 0, 0, -294835183, false, 8300, 16000, 60, 69979065, 0, 0, 15.77, 0, 
